LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
47000,164411,235500,DebtCon,Office,17,0,1,181.9333333,3,48,
50000,202601,288000,DebtCon,ProfExe,3,1,1,160.6666667,2,30,
15700,149305,,DebtCon,ProfExe,25,0,2,382.8588359,0,71,38.22834475
9300,84900,105798,DebtCon,ProfExe,2,0,0,41.8072046,1,3,26.9566979
10000,,65088,HomeImp,Mgr,3.5,4,5,205.0666667,2,39,
61400,46126,83800,,Other,33,0,1,339.9,1,23,
10300,70147,122124,HomeImp,Other,1,0,0,58.8956859,0,7,57.99501862
22300,71800,100000,DebtCon,Sales,0.1,0,0,220.1333333,1,26,
23800,9124,41900,DebtCon,Other,28,0,2,120.7333333,1,16,
6500,183860,208910,DebtCon,ProfExe,4,6,0,86.45222694,6,29,69.8005248
5200,40564,39527,HomeImp,Other,0,0,0,157.7710357,1,13,72.67043331
9700,53000,56000,DebtCon,Office,2,0,0,75.03333333,5,18,
15000,106239,135942,DebtCon,ProfExe,19.5,0,1,9.1,2,24,
3600,41900,52490,HomeImp,Mgr,3,0,0,72.03333333,2,4,
24800,76220,102087,HomeImp,Mgr,6,0,1,126.6410196,0,32,48.56957404
9900,37609,120186,DebtCon,Other,,0,0,176.367839,3,30,53.17891111
25000,104000,188500,DebtCon,Other,0.7,0,11,194.8,1,14,
15000,40000,58000,,ProfExe,4,7,0,268.8333333,3,26,
21800,99753,128000,HomeImp,ProfExe,15,1,2,286.1,3,26,
10000,65000,80000,DebtCon,Other,2,0,0,26.36666667,3,2,
16000,20000,60000,HomeImp,Other,11,0,0,51.03333333,0,9,
10600,53200,71000,DebtCon,ProfExe,2,0,0,224.2333333,5,39,
16800,69284,,DebtCon,Office,21,0,0,190.6933138,1,20,35.89402586
15000,163000,207562,DebtCon,ProfExe,6,0,0,247.5842491,1,27,
24200,37500,,,ProfExe,4,0,0,123.8,0,14,
10200,52310,74117,DebtCon,Other,13,0,3,118.6957855,2,23,
15000,89000,122400,HomeImp,Mgr,1,0,2,136.4666667,0,19,
8900,133847,157399,HomeImp,ProfExe,17,0,2,70.88414409,0,12,34.70233074
8000,33689.3,48000,DebtCon,Other,3,0,0,103.7333333,0,13,
28300,104686,136033,HomeImp,ProfExe,13,0,2,291.1716614,1,27,5.762994872
20000,71254,109200,DebtCon,Other,10,,,,,,
25400,83943,129189,DebtCon,Mgr,,1,1,5.243341044,,41,42.93355731
40900,217000,290000,DebtCon,ProfExe,30,1,0,230.2666667,2,25,
8700,62600,77600,DebtCon,Other,0.5,1,0,351.0333333,3,13,
21600,154991,,DebtCon,Self,,2,4,165.60083,0,43,38.01491727
2500,25116,36350,HomeImp,Other,10,1,2,276.9666667,0,9,
15000,83000,114000,DebtCon,ProfExe,18,0,0,207.2333333,0,27,
7000,83000,97635,HomeImp,Other,5.6,3,0,141,0,10,
7500,42077,91676,HomeImp,Office,5.5,1,4,344.9,1,30,
7500,57800,109600,DebtCon,Mgr,4,0,1,124.1333333,1,18,
23500,52457,77436,DebtCon,Other,16,0,0,,0,0,33.56876627
15700,60316,80000,DebtCon,Mgr,0.2,1,0,85.2,1,23,
38800,31976,,DebtCon,Office,2,0,3,134.543886,1,24,
25000,110048,,DebtCon,Other,1,0,1,126.4,2,24,
10000,59543,86800,DebtCon,Other,9,3,1,152.1333333,2,51,
12300,50230,70000,DebtCon,Sales,1,0,,184.3666667,2,20,
11900,63833,,DebtCon,Other,3,,,,,,40.93276678
28100,61000,99000,DebtCon,Mgr,7,0,1,129.1666667,1,31,
25000,103700,172762,DebtCon,Other,4,0,0,,0,0,
14200,,49060,DebtCon,Other,,,,,,,24.701642
4100,,19132,HomeImp,Other,0,0,0,100.7746522,0,19,33.8409199
12000,54257,82764,,Other,14,1,1,188.3374218,2,31,38.94275964
20000,86019,94350,DebtCon,Other,3.7,0,1,119.7,0,16,
10000,69727,90312,HomeImp,Office,4.5,5,1,122.8333333,,17,
50000,38000,,DebtCon,ProfExe,26,7,6,150.2,0,25,
22400,15765,40456,HomeImp,Other,0,1,3,117.6666667,0,12,
5500,37368,48502,HomeImp,Mgr,9,0,2,48.995845,0,10,33.12648397
5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,
11600,57200,72500,DebtCon,Other,5,0,0,34.46666667,4,15,
24100,30951,58000,DebtCon,Mgr,11,0,4,36.5,0,12,
4500,118000,146870,HomeImp,ProfExe,4.5,2,0,203.8666667,1,20,
13000,7200,24869,HomeImp,Other,0.7,9,1,193.8,0,9,
42000,9999,50681,HomeImp,ProfExe,3,0,0,326.0679857,5,15,12.38674131
28000,28042,63500,DebtCon,ProfExe,14,2,4,121.7333333,4,28,
8800,12750,,HomeImp,Office,23,,,,,,
17000,87600,110000,DebtCon,Other,0.4,6,0,180.5666667,2,46,
13000,94941,120000,DebtCon,ProfExe,0.1,0,0,132.8666667,0,21,
11200,56877,65125,HomeImp,Other,6,2,0,12.17692857,0,1,33.24121888
17700,58016,76416,DebtCon,Office,4,0,0,28.01149175,5,10,41.46337333
13000,111000,137813,,Mgr,6,2,2,138.3333333,3,65,
5500,,12972,HomeImp,Other,1,0,1,82.29426635,0,2,36.9867441
14900,57557,80611,DebtCon,Other,12,0,0,103.1065045,0,7,39.84087535
12600,86785,110400,DebtCon,Other,0.7,1,,89.06666667,2,27,
25600,46000,80000,DebtCon,Other,,0,0,135.9,2,19,
20200,33000,62400,HomeImp,Other,1,0,0,123.8,2,2,
31500,16800,,DebtCon,,12,1,2,110.6333333,4,20,
10000,5200,53095,HomeImp,Other,5,3,3,234.3333333,3,17,
20000,,115750,HomeImp,Other,,0,2,132.5333333,0,10,
10000,34350,54146,DebtCon,Other,3,0,0,144.4228889,0,18,31.5390134
50000,26976,,DebtCon,Mgr,8.3,1,0,111.6,1,6,
24100,164155,225184,HomeImp,Self,2,,,,,,31.56422692
15300,21383,38480,HomeImp,Mgr,20,0,1,182.6,4,31,
17000,74910,112375,DebtCon,Office,41,0,0,95.2,3,28,
10000,34900,48000,HomeImp,Other,3,0,0,288.1666667,1,3,
11000,63975,235000,HomeImp,ProfExe,4,5,0,123.7666667,1,17,
6700,,20631,HomeImp,Mgr,4,0,0,174.7218341,1,8,62.24645112
15500,54653,73117,DebtCon,Other,13,,,,,,29.54185091
13000,125969,144076,DebtCon,Other,4,0,0,110.1931963,2,30,48.9777317
19600,117646,149975,DebtCon,Other,4,0,0,114.2136149,1,12,31.22280265
29400,48800,86000,DebtCon,Other,5,1,0,52.76653273,2,21,
19600,94419,123705,DebtCon,Self,19,,2,92.7393804,0,22,84.37903408
6400,25144,45200,HomeImp,Other,25,0,2,128,4,17,
5500,24700,35675,DebtCon,Other,1,0,3,153.9333333,3,27,
15500,48100,67000,DebtCon,Other,15,,,,,,
20900,122807,150896,DebtCon,Other,5,0,0,123.4795377,2,13,30.4244811
49500,247500,,,Other,0,0,4,160.3333333,2,25,
21000,48735,71694,DebtCon,Other,8,0,0,48.49897084,3,10,32.92140064
4100,58500,65000,HomeImp,Other,8,1,2,63.93333333,2,15,
37000,93378,145000,DebtCon,Sales,15,,2,368.7,1,27,
16200,71530,88569,DebtCon,Mgr,14,0,0,,0,1,35.88671015
19200,62334,91300,DebtCon,Mgr,8,0,1,92.33333333,4,13,
13800,35807,40700,DebtCon,Other,1,0,0,91.26666667,1,17,
24000,19500,38000,DebtCon,Other,,0,1,198.9,,17,
19600,109500,136000,DebtCon,ProfExe,12,2,0,183.9666667,3,32,
11600,57939,69774,DebtCon,Mgr,5,0,0,91.99164592,0,12,72.26409333
15000,89200,114750,DebtCon,ProfExe,11,0,0,114.6,0,27,
3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,
8500,48961,73550,HomeImp,Other,11,6,1,145.1,4,11,
21000,52411,90031,,ProfExe,5,2,1,90.4254746,3,24,41.96624947
17000,,,HomeImp,,1,0,0,111.2350118,0,21,31.36287239
6000,40000,54600,HomeImp,ProfExe,4,0,4,101.4,0,19,
11100,,26400,HomeImp,Other,8,0,0,,2,0,
20000,16000,87300,DebtCon,Other,28,1,6,232.3333333,1,21,
16800,113021,146222,,Mgr,5,3,2,123.8934197,2,65,62.55930782
12000,,,HomeImp,Other,3,0,2,213.6666667,1,15,
7500,,,HomeImp,Other,21,,,158.9,1,21,
40000,159000,225000,HomeImp,Self,5,0,0,6.133333333,8,3,
25000,123184,200000,DebtCon,Other,12,0,1,160.3,1,32,
12000,42000,60000,DebtCon,Other,4,1,2,145.5333333,0,23,
23300,71734,100072,DebtCon,ProfExe,6,0,7,122.7994431,0,21,34.53043859
24500,95736,134000,HomeImp,Mgr,1.5,0,1,122.5,2,20,
10000,46946,65000,HomeImp,Office,7.2,0,1,80.1,1,12,
31800,60279,97875,DebtCon,Mgr,6,0,11,312.4333333,0,46,
15000,5500,29025,DebtCon,Other,25,0,5,275.5,1,19,
18200,95091,113294,DebtCon,ProfExe,15,0,3,188.504617,0,36,78.65438605
25000,112000,157000,DebtCon,Office,5.5,0,0,63.9,3,9,
19000,105200,130000,HomeImp,Self,5,1,0,237.4333333,1,27,
10800,194485,228670,HomeImp,ProfExe,1,0,0,75.45815036,,4,28.37013088
6000,22859,32200,DebtCon,Other,4,0,0,83.33333333,3,20,
27700,19300,39000,DebtCon,Mgr,12,3,0,212.0666667,0,46,
7500,50000,80000,HomeImp,Other,9,,5,299.5666667,2,18,
12400,50573,84008,DebtCon,Other,15,1,0,76.04208693,0,7,41.02796675
20000,116932,138072,HomeImp,Other,19,0,0,171.4666667,2,23,
25000,95000,127000,HomeImp,ProfExe,15,1,2,296.2,2,27,
1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356
15000,,,DebtCon,,0,2,1,91.26666667,1,10,
24900,77000,115006,DebtCon,Other,10,0,0,293.2333333,0,36,
16800,87300,155500,DebtCon,Other,3,0,0,1154.633333,0,0,
38000,94083,132791,DebtCon,Self,10,0,1,212.992728,0,64,62.80173209
10900,,16365,HomeImp,Other,,0,0,59.54870268,1,2,24.19590363
24400,119000,144400,DebtCon,Mgr,33,0,2,229.3,7,36,
17500,110603,142000,DebtCon,Other,1,1,0,163.0666667,3,25,
22100,57000,83000,DebtCon,Other,7,0,0,,0,0,
15500,82054,104627,DebtCon,Sales,3,0,0,9.048515086,1,35,60.64575626
15000,,54869,DebtCon,Office,8,,,,,,
36000,124000,176000,DebtCon,Other,21,,,257.7,5,35,
25000,59000,34000,DebtCon,Sales,10,4,2,125.8333333,7,23,
4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,
12000,58730,80000,DebtCon,Office,10,,4,123.1,3,25,
41800,147416,227168,DebtCon,Self,2,0,4,157.6682359,3,28,
13100,54000,74750,DebtCon,Other,14,1,0,92.4,0,9,
12600,48983,65000,DebtCon,Other,5,1,0,58.7,7,23,
21400,95147,132304,DebtCon,Office,7,1,5,206.1276648,1,18,36.23566539
22000,96127,122000,DebtCon,Mgr,24,0,2,301.3,3,36,
15000,16400,205950,DebtCon,Mgr,10,8,3,135.9333333,11,42,
15500,57993,82248,DebtCon,Other,10,0,0,173.0729685,0,16,32.14246898
16200,83448,135447,DebtCon,Mgr,17,0,5,129.7801316,9,19,45.55441548
31200,38352,80550,DebtCon,Mgr,21,1,0,116.4379076,0,14,35.38186329
10600,22000,35200,DebtCon,Mgr,13,0,0,90.33333333,5,14,
20000,145500,194000,HomeImp,Self,4.5,0,0,67.9,5,5,
9600,24680,43500,DebtCon,Other,18,0,3,114.6666667,0,19,
7500,32070,36811,DebtCon,Other,1,1,0,228.0360001,0,6,30.16221411
15000,77544,102000,DebtCon,Sales,4,0,0,11.7,2,35,
19000,46300,72000,DebtCon,ProfExe,5,1,1,215.0333333,6,24,
14700,51829,69136,DebtCon,Other,14,0,0,169.9853078,0,18,35.63539385
14000,,42500,DebtCon,Other,,,,,,,
20500,52031,64975,,Other,2.5,1,3,105.5333333,2,33,
25000,,72970,DebtCon,ProfExe,1.8,4,0,198.8,0,18,
14000,139000,159000,DebtCon,Mgr,13,0,1,171.4333333,1,32,
10000,90700,123370,DebtCon,ProfExe,15,2,0,90.3,1,4,
5000,,71277,HomeImp,Other,10,0,0,72.43333333,1,12,
24600,75636,112956,DebtCon,ProfExe,1,1,0,318.5461654,3,42,
24200,10286,,DebtCon,Other,24.5,0,1,216.1333333,4,32,
13300,58000,75000,DebtCon,Mgr,6.6,0,1,226.2,1,33,
13900,,,HomeImp,Other,4,0,2,209.4799103,0,15,35.77489179
20300,63803,89079,DebtCon,ProfExe,21,0,4,323.8085733,4,28,45.8759169
23500,,143168,DebtCon,Office,10,,,,,,35.73356733
8600,44992,66403,DebtCon,Other,8,0,0,172.551555,1,27,43.87561082
1100,25860,39025,HomeImp,Other,10.5,0,0,94.36666667,1,9,
11700,69100,85000,DebtCon,Mgr,3.8,3,0,80.1,0,22,
16800,50445,71711,DebtCon,Other,5,0,0,71.23076169,5,18,40.58291348
26500,61223,92255,DebtCon,Other,2,0,1,214.0325389,0,17,1.85553998
13000,41193,58000,DebtCon,Other,18,3,2,66.93333333,4,7,
17500,91000,116000,DebtCon,ProfExe,0.5,0,0,188.7333333,3,26,
19500,50000,89100,,ProfExe,7,2,1,86.23333333,4,25,
7500,,51610,HomeImp,ProfExe,4,0,3,158.2666667,2,18,
8000,33000,38500,HomeImp,Other,2,0,0,,0,0,
5000,68000,75616,DebtCon,ProfExe,0.1,0,0,131.8666667,0,30,
27100,63844,101000,DebtCon,Other,8,1,1,128.8,0,22,
21800,21000,45000,,ProfExe,20,0,0,256.7,1,19,
22700,94601,99755,DebtCon,Other,3,0,0,129.5643008,0,16,37.96930454
12500,41000,64680,DebtCon,Other,2,0,0,70.9,3,30,
50200,197770,271676,DebtCon,Mgr,16,0,0,146.8625413,1,20,42.9265802
76500,38206,90000,DebtCon,Other,12,0,0,134.9,0,26,
20000,60336,132430,DebtCon,Other,25,1,0,258.6666667,1,21,
10000,62000,80000,DebtCon,Other,5,,1,97.4,4,30,
16800,44983,65000,DebtCon,Sales,4,2,1,77.03333333,6,43,
13000,36223,,DebtCon,Other,9,1,0,132.8666667,0,14,
15000,42006,,DebtCon,Other,10,0,1,75.33333333,0,33,
17200,62108,,DebtCon,Office,21,0,0,174.3961345,1,21,34.53892537
28700,25190,59841,DebtCon,Office,1,0,1,201.1767833,0,11,35.72928694
75400,,89609,DebtCon,Other,1,0,0,115.7635338,9,23,41.10556883
3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,
7500,126000,151380,HomeImp,ProfExe,18,0,2,75.66666667,1,13,
15000,153000,185625,DebtCon,Mgr,8,,2,154.2,,31,
18000,39005,60000,DebtCon,Other,10,2,0,112.6333333,5,5,
15000,47000,73900,DebtCon,Office,2,1,5,73.1,1,16,
21700,24984,92297,DebtCon,Other,26,0,6,238.3696373,1,20,16.39716087
26600,84843,115850,DebtCon,Sales,2,0,0,137.5388776,2,37,42.57188992
4200,34800,50225,HomeImp,Other,2,1,0,93.5,1,5,
9300,78000,97700,DebtCon,Mgr,12,0,2,88.5,4,29,
12000,69000,92900,HomeImp,ProfExe,2,0,0,115.9,0,15,
6000,18793,27750,HomeImp,Mgr,6,0,3,119.7,0,8,
8300,82000,111000,DebtCon,Other,6,2,2,214.1,2,12,
15400,180017,206148,DebtCon,Mgr,2,0,2,196.0336579,1,49,36.41734258
25500,63967,87239,DebtCon,Other,6,0,0,,0,0,33.05107375
27500,97601,136546,DebtCon,Other,9,0,0,80.49714707,5,39,
4900,25597,23031,HomeImp,Other,5,0,0,101.7467664,0,8,33.24315698
13700,46000,81000,DebtCon,ProfExe,1.5,0,1,101.5666667,0,25,
27000,124000,162000,DebtCon,Other,0.8,0,2,166.3666667,1,34,
2800,50795,63100,HomeImp,Self,26,2,15,145.6333333,3,45,
1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,
17000,56800,82000,DebtCon,ProfExe,22,0,5,320.6,4,28,
11300,62568,79009,HomeImp,Office,4,0,3,295.3346697,0,19,28.60025223
15800,69928,,,Other,23,0,3,82.44398559,1,14,32.32726246
15000,40772,62025,HomeImp,Other,,0,1,120.6,2,19,
22000,92000,,DebtCon,Office,4,,12,218,1,39,
14600,67997,87000,DebtCon,Other,11,1,,93.33333333,3,23,
12500,62000,102600,HomeImp,Other,10,2,6,226.4333333,4,42,
10800,64305,107374,DebtCon,ProfExe,9,0,0,97.86132576,0,36,36.99638566
45700,,50800,DebtCon,ProfExe,13,3,2,97.4,4,46,
14000,65000,,,Other,23,0,3,109.5666667,1,15,
17400,96590,112115,DebtCon,Other,0,6,0,178.6595894,2,46,41.11788749
42800,9133,44083,HomeImp,ProfExe,5,0,0,333.9133736,5,15,13.41782225
41600,,44157,DebtCon,Other,,0,2,202.151546,0,15,34.90863172
15900,101337,,HomeImp,Other,4,0,0,235.6274023,0,23,20.72337565
23000,72638,109183,DebtCon,ProfExe,2,0,0,177.611648,2,22,48.27759122
14200,100663,122021,DebtCon,ProfExe,0,0,0,139.9839768,0,20,43.79745956
10000,22000,41250,HomeImp,Mgr,5,0,0,97.96666667,0,21,
38000,106000,160000,DebtCon,Other,24,0,6,240.4666667,0,33,
8600,,25000,HomeImp,Other,0,6,0,64.86666667,2,27,
27700,,65635,HomeImp,Other,18,0,3,221.1,1,28,
4500,57000,,HomeImp,Other,5,,,222.6,1,13,
18000,47000,69000,DebtCon,Other,6,3,2,110.6333333,2,24,
5000,123000,157500,HomeImp,Mgr,9,,,,,,
7400,71576,89068,DebtCon,Sales,0,0,0,94.78223069,0,17,42.803422
21100,72000,98000,DebtCon,Office,6,0,2,79.16666667,4,29,
3700,17857,21144,HomeImp,Other,5,0,0,129.7173231,1,9,26.63434752
18300,60100,82506,DebtCon,ProfExe,10,3,1,171.4666667,2,64,
39300,,62158,DebtCon,Other,0,0,0,238.8741292,1,14,1.028930968
7300,60971.32,77375,DebtCon,Other,2,,,,,,
17000,48000,69000,DebtCon,Office,25,0,0,351.0333333,3,24,
16000,50000,71130,DebtCon,ProfExe,2.5,0,0,189.7,0,22,
18700,39441,71345,DebtCon,Other,11,0,4,132.8367575,0,13,27.69164816
5000,61999,75021.3,HomeImp,Other,5,0,0,97.1,0,23,
32900,,55657,,,1,1,3,210.0122648,10,15,1.909225163
43200,217036,291222,DebtCon,ProfExe,30,0,0,228.1464583,1,25,43.7894993
24400,69873,101484,DebtCon,Other,15,0,6,225.7525542,0,29,
12600,41169.82,57000,DebtCon,Other,5.5,1,0,98.43333333,10,18,
53400,228236,305514,HomeImp,Self,6,0,0,11.14806851,0,2,34.55841672
18200,139000,171350,DebtCon,Other,0.1,0,1,102.5,7,18,
6700,60301,70543,HomeImp,ProfExe,5,0,0,195.7808633,0,19,32.39759341
8000,37871,,HomeImp,ProfExe,15,6,2,179.6333333,0,30,
12300,49800,64000,DebtCon,ProfExe,23,0,2,232.3333333,3,17,
30000,176000,240000,DebtCon,ProfExe,1,1,0,198.8666667,2,13,
3000,119826,193500,HomeImp,Other,8,0,0,130.0333585,0,27,
23500,,116983,HomeImp,Other,,0,1,143.4146448,0,10,35.06031985
8400,31800,72000,DebtCon,Self,,0,2,187.2666667,1,21,
16400,54818,74447,DebtCon,Office,3,2,3,208.0888643,1,50,41.95642972
1800,28502,43034,HomeImp,Other,11,0,0,88.76602988,0,8,36.88489409
