Continent (CountryInfo),CountryCode (CountryInfo),CountryName (CountryInfo),Land Locked Developing Countries (LLDC) (CountryInfo),Least Developed Countries (LDC) (CountryInfo),Small Island Developing States (SIDS) (CountryInfo),SubRegionName (CountryInfo)
Europe,POL,Poland,,,,Eastern Europe
Europe,PRT,Portugal,,,,Southern Europe
Americas,PRI,Puerto Rico,,,x,Latin America and the Caribbean
Asia,QAT,Qatar,,,,Western Asia
Asia,KOR,Republic of Korea,,,,Eastern Asia
Europe,MDA,Republic of Moldova,x,,,Eastern Europe
Africa,REU,Réunion,,,,Sub-Saharan Africa
Europe,ROU,Romania,,,,Eastern Europe
Europe,RUS,Russian Federation,,,,Eastern Europe
Africa,RWA,Rwanda,x,x,,Sub-Saharan Africa
Americas,BLM,Saint Barthélemy,,,,Latin America and the Caribbean
Africa,SHN,Saint Helena,,,,Sub-Saharan Africa
Americas,KNA,Saint Kitts and Nevis,,,x,Latin America and the Caribbean
Americas,LCA,Saint Lucia,,,x,Latin America and the Caribbean
Americas,MAF,Saint Martin (French Part),,,,Latin America and the Caribbean
Americas,SPM,Saint Pierre and Miquelon,,,,Northern America
Americas,VCT,Saint Vincent and the Grenadines,,,x,Latin America and the Caribbean
Oceania,WSM,Samoa,,,x,Polynesia
Europe,SMR,San Marino,,,,Southern Europe
Africa,STP,Sao Tome and Principe,,x,x,Sub-Saharan Africa
Asia,SAU,Saudi Arabia,,,,Western Asia
Africa,SEN,Senegal,,x,,Sub-Saharan Africa
Europe,SRB,Serbia,,,,Southern Europe
Africa,SYC,Seychelles,,,x,Sub-Saharan Africa
Africa,SLE,Sierra Leone,,x,,Sub-Saharan Africa
Asia,SGP,Singapore,,,x,South-eastern Asia
Americas,SXM,Sint Maarten (Dutch part),,,x,Latin America and the Caribbean
Europe,SVK,Slovakia,,,,Eastern Europe
Europe,SVN,Slovenia,,,,Southern Europe
Oceania,SLB,Solomon Islands,,x,x,Melanesia
Africa,SOM,Somalia,,x,,Sub-Saharan Africa
Africa,ZAF,South Africa,,,,Sub-Saharan Africa
Americas,SGS,South Georgia and the South Sandwich Islands,,,,Latin America and the Caribbean
Africa,SSD,South Sudan,x,x,,Sub-Saharan Africa
Europe,ESP,Spain,,,,Southern Europe
Asia,LKA,Sri Lanka,,,,Southern Asia
Asia,PSE,State of Palestine,,,,Western Asia
Africa,SDN,Sudan,,x,,Northern Africa
Americas,SUR,Suriname,,,x,Latin America and the Caribbean
Europe,SJM,Svalbard and Jan Mayen Islands,,,,Northern Europe
Europe,SWE,Sweden,,,,Northern Europe
Europe,CHE,Switzerland,,,,Western Europe
Asia,SYR,Syrian Arab Republic,,,,Western Asia
Asia,TJK,Tajikistan,x,,,Central Asia
Asia,THA,Thailand,,,,South-eastern Asia
Asia,TLS,Timor-Leste,,x,x,South-eastern Asia
Africa,TGO,Togo,,x,,Sub-Saharan Africa
Oceania,TKL,Tokelau,,,,Polynesia
Oceania,TON,Tonga,,,x,Polynesia
Americas,TTO,Trinidad and Tobago,,,x,Latin America and the Caribbean
Africa,TUN,Tunisia,,,,Northern Africa
Asia,TUR,Türkiye,,,,Western Asia
Asia,TKM,Turkmenistan,x,,,Central Asia
Americas,TCA,Turks and Caicos Islands,,,,Latin America and the Caribbean
Oceania,TUV,Tuvalu,,x,x,Polynesia
Africa,UGA,Uganda,x,x,,Sub-Saharan Africa
Europe,UKR,Ukraine,,,,Eastern Europe
Asia,ARE,United Arab Emirates,,,,Western Asia
Europe,GBR,United Kingdom of Great Britain and Northern Ireland,,,,Northern Europe
Africa,TZA,United Republic of Tanzania,,x,,Sub-Saharan Africa
Oceania,UMI,United States Minor Outlying Islands,,,,Micronesia
Americas,USA,United States of America,,,,Northern America
Americas,VIR,United States Virgin Islands,,,x,Latin America and the Caribbean
Americas,URY,Uruguay,,,,Latin America and the Caribbean
Asia,UZB,Uzbekistan,x,,,Central Asia
Oceania,VUT,Vanuatu,,,x,Melanesia
Americas,VEN,Venezuela (Bolivarian Republic of),,,,Latin America and the Caribbean
Asia,VNM,Viet Nam,,,,South-eastern Asia
Oceania,WLF,Wallis and Futuna Islands,,,,Polynesia
Africa,ESH,Western Sahara,,,,Northern Africa
Asia,YEM,Yemen,,x,,Western Asia
Africa,ZMB,Zambia,x,x,,Sub-Saharan Africa
Africa,ZWE,Zimbabwe,x,,,Sub-Saharan Africa
